time,step,trainLoss
2022-05-11 11:32:33.450490,Step[3],0.089378
2022-05-11 11:32:33.918243,Step[4],0.089210
2022-05-11 11:32:34.295237,Step[5],0.089044
2022-05-11 11:32:34.576490,Step[6],0.088880
2022-05-11 11:32:34.946505,Step[7],0.088718
2022-05-11 11:32:35.344444,Step[8],0.088559
2022-05-11 11:32:35.613725,Step[9],0.088401
2022-05-11 11:32:35.991719,Step[10],0.088245
2022-05-11 11:32:36.435537,Step[11],0.088091
2022-05-11 11:32:36.720777,Step[12],0.087939
2022-05-11 11:32:37.110737,Step[13],0.087788
2022-05-11 11:32:37.380021,Step[14],0.087639
2022-05-11 11:32:37.794916,Step[15],0.087492
2022-05-11 11:32:38.067190,Step[16],0.087347
2022-05-11 11:32:38.445210,Step[17],0.087203
2022-05-11 11:32:38.860076,Step[18],0.087061
2022-05-11 11:32:39.136341,Step[19],0.086920
2022-05-11 11:32:39.680917,Step[0],0.219091
2022-05-11 11:32:40.120719,Step[1],0.219043
2022-05-11 11:32:40.396003,Step[2],0.218992
2022-05-11 11:32:40.746053,Step[3],0.218940
2022-05-11 11:32:41.168926,Step[4],0.218886
2022-05-11 11:32:41.449180,Step[5],0.218830
2022-05-11 11:32:41.821188,Step[6],0.218772
2022-05-11 11:32:42.091469,Step[7],0.218712
2022-05-11 11:32:42.528305,Step[8],0.218650
2022-05-11 11:32:42.806564,Step[9],0.218586
2022-05-11 11:32:43.176578,Step[10],0.218520
2022-05-11 11:32:43.595462,Step[11],0.218452
2022-05-11 11:32:43.864745,Step[12],0.218382
2022-05-11 11:32:44.261688,Step[13],0.218310
2022-05-11 11:32:44.650651,Step[14],0.218236
2022-05-11 11:32:44.973789,Step[15],0.218161
2022-05-11 11:32:45.356770,Step[16],0.218083
2022-05-11 11:32:45.632036,Step[17],0.218003
2022-05-11 11:32:46.042476,Step[18],0.217922
2022-05-11 11:32:46.328748,Step[19],0.217839
2022-05-11 11:32:46.979978,Step[0],0.137442
2022-05-11 11:32:47.338062,Step[1],0.137684
2022-05-11 11:32:47.703051,Step[2],0.137918
2022-05-11 11:32:47.969343,Step[3],0.138146
2022-05-11 11:32:48.403187,Step[4],0.138369
2022-05-11 11:32:48.668512,Step[5],0.138586
2022-05-11 11:32:49.032512,Step[6],0.138797
2022-05-11 11:32:49.458375,Step[7],0.139004
2022-05-11 11:32:49.727690,Step[8],0.139206
2022-05-11 11:32:50.104328,Step[9],0.139403
2022-05-11 11:32:50.427792,Step[10],0.139595
2022-05-11 11:32:50.814764,Step[11],0.139782
2022-05-11 11:32:51.215694,Step[12],0.139964
2022-05-11 11:32:51.486971,Step[13],0.140142
2022-05-11 11:32:51.877976,Step[14],0.140315
2022-05-11 11:32:52.159181,Step[15],0.140483
2022-05-11 11:32:52.566097,Step[16],0.140646
2022-05-11 11:32:52.994953,Step[17],0.140805
2022-05-11 11:32:53.287176,Step[18],0.140959
2022-05-11 11:32:53.669157,Step[19],0.141108
2022-05-11 11:32:54.384290,Step[0],0.023150
2022-05-11 11:32:54.755263,Step[1],0.023222
2022-05-11 11:32:55.037548,Step[2],0.023292
2022-05-11 11:32:55.459389,Step[3],0.023360
2022-05-11 11:32:55.798485,Step[4],0.023427
2022-05-11 11:32:56.116669,Step[5],0.023493
2022-05-11 11:32:56.551511,Step[6],0.023558
2022-05-11 11:32:56.829770,Step[7],0.023621
2022-05-11 11:32:57.233693,Step[8],0.023683
2022-05-11 11:32:57.690477,Step[9],0.023744
2022-05-11 11:32:57.981701,Step[10],0.023804
2022-05-11 11:32:58.358697,Step[11],0.023862
2022-05-11 11:32:58.634960,Step[12],0.023920
2022-05-11 11:32:59.047860,Step[13],0.023976
2022-05-11 11:32:59.441810,Step[14],0.024031
2022-05-11 11:32:59.719109,Step[15],0.024084
2022-05-11 11:33:00.165882,Step[16],0.024137
2022-05-11 11:33:00.518941,Step[17],0.024188
2022-05-11 11:33:00.834134,Step[18],0.024238
2022-05-11 11:33:01.294875,Step[19],0.024287
2022-05-11 11:33:01.797568,Step[0],0.115970
2022-05-11 11:33:02.074797,Step[1],0.116164
2022-05-11 11:33:02.520610,Step[2],0.116352
2022-05-11 11:33:02.849732,Step[3],0.116536
2022-05-11 11:33:03.155916,Step[4],0.116717
2022-05-11 11:33:03.606715,Step[5],0.116895
2022-05-11 11:33:03.899971,Step[6],0.117069
2022-05-11 11:33:04.302861,Step[7],0.117241
2022-05-11 11:33:04.644949,Step[8],0.117409
2022-05-11 11:33:05.041200,Step[9],0.117574
2022-05-11 11:33:05.444172,Step[10],0.117736
2022-05-11 11:33:05.764273,Step[11],0.117895
2022-05-11 11:33:06.169196,Step[12],0.118050
2022-05-11 11:33:06.568132,Step[13],0.118203
2022-05-11 11:33:06.849383,Step[14],0.118352
2022-05-11 11:33:07.271259,Step[15],0.118498
2022-05-11 11:33:07.666206,Step[16],0.118641
2022-05-11 11:33:07.934527,Step[17],0.118781
2022-05-11 11:33:08.392272,Step[18],0.118918
2022-05-11 11:33:08.748324,Step[19],0.119052
2022-05-11 11:33:09.221065,Step[0],0.194561
2022-05-11 11:33:09.655906,Step[1],0.194561
